"source_sheet","source_row","section","item","sub_item","prev_metric","current_metric","activity_this_week","next_plan","completed_date","target_date","target_value","request_notes"
"2026-01-23","9","답변","약관","","","","1. 상품간 약관 정보 유사도 분석","1. 답변 생성 프롬프트 내 Hallucination 절감 위한 제약 조건 Prompt 테스트
  - 문서 검색율에 비해 잘못된 정보 발화율 높은 이유 연구 및 개선 작업
  - 업무 매뉴얼의 정보에 의해 오염되는 것으로 예측","","","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-01-23","10","답변","멀티턴 답변","","","","1. LLM
- 멀티턴 개수 확정","1. 학습 및 검증세트 수급","","","","멀티턴 학습 질답세트 제공 요청"
"2026-01-23","11","답변","예측질의 답변","","","","","1. 학습 및 검증세트 수급","","","","예측질의 학습 질답 세트 제공 요청"
"2026-01-23","12","답변","유도질의 답변","","","","","1. 학습 및 검증세트 수급","","","","유도질의 학습 질답 세트 제공 요청"
"2026-01-30","7","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1.Knowledge base Hybrid 검색 방식 변경 테스트 (2차 약관, 상품매뉴얼 대상)
  - searchMode all/any 관련 각 케이스별 테스트 수행
2. Rerank 시 Score의 급격한 하락 원인 분석 및 개선
   (qwen3 rerank 모델 기반)
3. 자동화 테스트를 위해 각 질문별 정답 Chunk_id 자동 수집 모듈 구현
   - 전체 케이스 Manually 검색 예정
   - 본문 내용 캐싱 후 Vector DB 변경시 캐시 기반으로 정답 Chunk_id 갱신 모듈 개발","1. 업무 매뉴얼 이외에 상품매뉴얼, PC 매뉴얼 등의 Chunk를 통합 Rerank 테스트","","","",""
"2026-01-30","8","답변","업무 매뉴얼","","","","1. 보험 약어 등 용어집을 활용 Query Expansion 확장
2. 확장된 Prompt 축소 실험
   (프롬프트의 역할 및 행동을 유지하면서 프롬프트를 줄이는 방안 연구)","1. 문서 내 오타 및 표현 방식 개선 방안 수립
2. 확장된 Prompt 축소 실험
   (프롬프트의 역할 및 행동을 유지하면서 프롬프트를 줄이는 방안 연구)","","","","27개 도메인 분류 중 22개 분류만 데이터 적재 시 메타로 사용되어서 5개는 현재 제외해서 검색을 해야함"
"2026-01-30","9","답변","PC 매뉴얼","","","","1. RAG(검색)
- (1안) PC매뉴얼 -> 각 이미지별 요약 설명 추가
- (2안) 예시 질문 -> 핵심키워드 추출 -> 키워드 메타 보강
- (3안) 예시 질문 데이터 증강 -> 모델학습을 통한 질문-문서 분류기 적용","1. RAG(검색)
- (1안) PC매뉴얼 -> 각 이미지별 요약 설명 추가
- (2안) 예시 질문 -> 핵심키워드 추출 -> 키워드 메타 보강
- (3안) 예시 질문 데이터 증강 -> 모델학습을 통한 질문-문서 분류기 적용","","","",""
"2026-01-30","10","답변","상담스크립트","","","","1. 상담 스크립트 용 별도 Query Expansion 테스트
  - 질의 키워드와 대화 내용 간의 유사성 증대 방안 테스트","1. 상담스크립트 Workflow 별도 분리 테스트","","","",""
"2026-01-30","11","답변","상품매뉴얼","","","","1. 답변 생성 프롬프트 내 Hallucination 절감 위한 제약 조건 Prompt 테스트
  - 문서 검색율에 비해 잘못된 정보 발화율 높은 이유 연구 및 개선 작업
  - 업무 매뉴얼의 정보에 의해 오염되는 것으로 예측","1. 상품명 기반 질의 Routing
  - 상품명이 질의 내에 있을 경우 상품 매뉴얼 Chunk의 Score 향상","","","",""
"2026-01-30","12","답변","사업방법서","","","","1. 데이터 기본 분석
  - Baseline 정확도 재검 및 실패 사례 분석","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","","",""
"2026-01-30","13","답변","약관","","","","1. 답변 생성 프롬프트 내 Hallucination 절감 위한 제약 조건 Prompt 테스트
  - 문서 검색율에 비해 잘못된 정보 발화율 높은 이유 연구 및 개선 작업
  - 업무 매뉴얼의 정보에 의해 오염되는 것으로 예측","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-01-30","14","답변","멀티턴 답변","","","","1. 학습 및 검증세트 수급","1. 데이터 기본 분석
  - Baseline 정확도 재검 및 실패 사례 분석","","","",""
"2026-01-30","15","답변","예측질의 답변","","","","1. 학습 및 검증세트 수급","1. 학습 및 검증세트 수급","","","","예측질의 학습 질답 세트 제공 요청"
"2026-01-30","16","답변","유도질의 답변","","","","1. 학습 및 검증세트 수급","1. 학습 및 검증세트 수급","","","","유도질의 학습 질답 세트 제공 요청"
"2026-02-06","7","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. 업무 매뉴얼 이외에 상품매뉴얼, PC 매뉴얼 등의 Chunk를 통합 Rerank 테스트","","","","",""
"2026-02-06","8","답변","업무 매뉴얼","","","","1. 문서 내 오타 및 표현 방식 개선 방안 수립
2. 확장된 Prompt 축소 실험
   (프롬프트의 역할 및 행동을 유지하면서 프롬프트를 줄이는 방안 연구)","","","","","27개 도메인 분류 중 22개 분류만 데이터 적재 시 메타로 사용되어서 5개는 현재 제외해서 검색을 해야함"
"2026-02-06","9","답변","PC 매뉴얼","","","","1. RAG(검색)
- (1안) PC매뉴얼 -> 각 이미지별 요약 설명 추가
- (2안) 예시 질문 -> 핵심키워드 추출 -> 키워드 메타 보강
- (3안) 예시 질문 데이터 증강 -> 모델학습을 통한 질문-문서 분류기 적용","","","","",""
"2026-02-06","10","답변","상담스크립트","","","","1. 상담스크립트 Workflow 별도 분리 테스트","","","","",""
"2026-02-06","11","답변","상품매뉴얼","","","","1. 상품명 기반 질의 Routing
  - 상품명이 질의 내에 있을 경우 상품 매뉴얼 Chunk의 Score 향상","","","","",""
"2026-02-06","12","답변","사업방법서","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","","","",""
"2026-02-06","13","답변","약관","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","","","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-02-06","14","답변","멀티턴 답변","","","","1. 데이터 기본 분석
  - Baseline 정확도 재검 및 실패 사례 분석","","","","",""
"2026-02-06","15","답변","예측질의 답변","","","","1. 학습 및 검증세트 수급","","","","","예측질의 학습 질답 세트 제공 요청"
"2026-02-06","16","답변","유도질의 답변","","","","1. 학습 및 검증세트 수급","","","","","유도질의 학습 질답 세트 제공 요청"
"2026-02-13","7","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. WM+PM+TS+BM 통합 Rerank 노드 추가
  : 정밀도 향상을 위한 기반 환경 구축
  --> 정답 순위가 낮아짐에 따라 정확도 2% 가량 상승

2. 문서 종류 (WM, PM, TS, BM) 간 유사도 Score 표준화
  : 업무매뉴얼이 다수의 검색 단계를 거치다보니 곱셈에 의해 낮은 점수 형성
  : 업무매뉴얼의 순위를 높이면서 타 문서 종류에 영향을 주지 않도록 표준화
  --> 업무 매뉴얼의 낮은 순위로 인해 발생된 오류 건 정답 전환율 1.5% 내외

3. 최종 통합 Rerank 노드 추가 : 최종 Top-k 20으로 감소
  --> 정밀도 향상, 정확도 변화 미미
4. Two-stage reasoning 제거 : 프롬프트 엔지니어링으로 커버링 --> 응답 시간 감소","1. Rerank 모델 교체 --> BGE-m2 Rerank 모델 

2. 통합 Rerank 노드 Top-k 변경 실험
  : 정답 Chunk 순위 향상에 따라 낮은 순위의 Chunk 절삭

3. 응답 속도 개선 실험
  : 핵심 정보 추출 노드 제거 --> LLM 호출 횟수 절감, 응답속도 개선

4. (현업 요청사항) 답변 생성 출처 및 근거 생성 위한 Workflow 변경 실험
  - Qwen3 가 답변을 만들어낸 논리적 이유 및 참고 Chunk 추출 실험","02월 13일","02월 27일","",""
"2026-02-13","8","답변","업무 매뉴얼","","","","1. 프롬프트 단순화,추상화
  --> 응답 속도 향상, 정확도 변화 미미, 추가 프롬프트 엔지니어링 수행을 위한
       프롬프트 추가 변경 공간 확보
2. Chunk Attention 엔지니어링 실험
  - 모든 Chunk를 순회하며 해당 Chunk가 질문에 대한 답변을 찾을 수 있는지
    프롬프트에서 Top3 검출, Top3를 주로 이용하도록 지시 프롬프팅","1. Chunk Retrieve 개수 정리 (15건으로 줄이기)
  - 정답 Chunk의 Context Windows 에 등록된 순위 상승 유도, 답변 개선 예상
2.","02월 13일","02월 27일","","27개 도메인 분류 중 22개 분류만 데이터 적재 시 메타로 사용되어서 5개는 현재 제외해서 검색을 해야함"
"2026-02-13","9","답변","PC 매뉴얼","","","","1. PC 매뉴얼 RAG 정확도 향상을 위한 파라미터 조정
  - 기본 70% 정확도 도출
  --> PC 매뉴얼의 프롬프트 개선 작업 통해 LLM Judge 기준 70% 가량 진행","1. RAG 매칭율 향상을 위해 PC 매뉴얼의 Hybrid Search 기능 테세트","02월 13일","02월 27일","",""
"2026-02-13","10","답변","상담스크립트","","","","1. 상담 스크립트 용 별도 Query Expansion 테스트
  - 질의 키워드와 대화 내용 간의 유사성 증대 방안 테스트
  --> 실패, 전체적으로 성능 향상이 기대에 미치지 못하고 3~4% 증감","1. (관련 Vector Database 사용 경험 없는 인월) 키워드 검색(BM25) 만 활용하여
   응답 순위 향상 및 정밀도 향상

2. 상담 스크립트를 RAG 없이 도메인 분류 프롬프트와 유사한 분류 문제로 90% 이상 달성 목표","02월 13일","02월 27일","",""
"2026-02-13","11","답변","상품매뉴얼","","","","1. 상품명 기반 질의 Routing
  - 상품명이 질의 내에 있을 경우 상품 매뉴얼 Chunk의 Score 향상","1. Baseline 프롬프트 응답 관련 인수인계 수행 (김기태 Role out)","02월 13일","02월 27일","",""
"2026-02-13","12","답변","사업방법서","","","","1. 기본 답변 프롬프트 개선 방향 수립  (Workflow3.8.26)
  - 업무 매뉴얼과의 영향도 분석","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","02월 13일","02월 27일","",""
"2026-02-13","13","답변","약관","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","02월 27일","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-02-13","14","답변","멀티턴 답변","","","","1. 학습 및 검증세트 수급","1. 데이터 기본 분석
  - Baseline 정확도 재검 및 실패 사례 분석","","02월 27일","",""
"2026-02-13","15","답변","예측질의 답변","","","","1. 학습 및 검증세트 수급","1. 학습 및 검증세트 수급","","02월 27일","","예측질의 학습 질답 세트 제공 요청"
"2026-02-13","16","답변","유도질의 답변","","","","1. 학습 및 검증세트 수급","1. 학습 및 검증세트 수급","","02월 27일","","유도질의 학습 질답 세트 제공 요청"
"2026-02-27","7","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. Azure AI Search 내 한글 형태소 분석기 적용 & Top-5 조정
  - 적용된 분석기 : ko.microsoft - Nori
  - 성과 : Lexical 검색 정확도향상
             RAG Top-K 를 5까지 낮추고 정답률 진행 시 기존과 유사한 결과 획득
2. Rerank 모델 교체  --> BGE-m2 Rerank 모델","1. Re Rank 시 발생하는 데이터 품질/노이즈 체크
  - 정답 데이터 Top-K 랭킹 진입여부 검토
2. Lexical + Vector 비중 변경 테스트
  - 4개 검색 필드 조합별 Case 테스트 추가 진행
  - 최적 weight 조합 재산정","02월 27일","03월 06일","",""
"2026-02-27","8","답변","업무 매뉴얼","","","","1. Self-Consistency 3회 수행 
  - 장점 : 82.48% 정확도 달성
  - 단점 : 3회 SLM 수행으로 인해 응답속도 저하, Streaming 불가
  - 처리 : 비기능 요건으로 인해 회귀 처리
  - Insight : Qwen3-30b-a3b 모델의 성능 향상을 위한 FT 진행 시작 필요
2. Original 문서 업데이트 
  - 축약 표현을 자연어 문장 형태로 풀어서 Rewrite
  - 변경한 문서의 정답 전환율은 50% 정도 향상되었으나 오류 회귀 건수가 증가
  - 추가 실험 필요","1. Original 문서 업데이트 
  - 답변 오류 항목만 Rewrite 하지 않고, 전체 Chunk의 Rewrite 시도
2. 약어 사전 적용 테스트
3. 현업 Feedback 결과 분석 및 반영
4. RLHF 활용 Fine tuning 환경 수립","02월 27일","03월 06일","","27개 도메인 분류 중 22개 분류만 데이터 적재 시 메타로 사용되어서 5개는 현재 제외해서 검색을 해야함"
"2026-02-27","9","답변","PC 매뉴얼","","","","1. RAG 매칭율 향상을 위해 PC 매뉴얼의 Hybrid Search 기능 테스트
  - 기존 방식 : 문서명 기반 유사도 측정
  - 신규 방식 : important_cs[0] (상세 설명) + important_cs[1] (요약) 활용 Vector 검색
  - 성과 : 문서 Matching 율 하락 
  - 원인 파악 진행 중","1. RAG 매칭율 향상을 위해 Hybrid Search 기능 테스트
  - chunk_with_weight 제외 후 Hybrid Search 진행 테스트","02월 27일","03월 06일","",""
"2026-02-27","10","답변","상담스크립트","","","","1. 스크립트별 목적 자동 생성 후 매칭에 활용
  - 배경 : 스크립트 사용 목적 항목은 이미 Chunk에 있음에도 불구하고 Matching이 안됨
  - 시도 : GPTOSS-120b를 이용하여 스크립트 내용을 보고 자동으로 목적 추가
  - 결과 : Matching율이 기존과 유사. 효과 없는 것으로 판단되어 원상 복구
  - 원인 : 스크립트별로 따로 분석을 하니 유사한(조건만 다른 경우) 스크립트의 목적을 
             동일하게 입력하여 오히려 노이즈 발생","1. 스크립트별 목적 자동 생성 후 매칭에 활용
  - 전체 스크립트를 Rule Based로 분류하고 
    목적이 겹치지 않도록 조정하는 프로그램 테스트
  - 단점 : 향후 운영 시 관리자가 상담 스크립트를 등록할 때 기존에 동일한 목적이 
            있었는지 확인을 반드시 선행해야 함.","02월 27일","03월 06일","",""
"2026-02-27","11","답변","상품매뉴얼","","","","1. 질의 내 상품명 추출 후 검색 키워드로 활용
  - 시도 : 상품명 키워드(docnm_kwd) + 원본 질문(Content_with_weight + Vector)
  - 결과 : 10% 가량 정확도 상승
  - 추가 고려사항 : 상품 매칭 실패 시 Fallback 처리 방안 필요","1. 형태소 분석 활용 BM25 검색 추가 --> Hybrid 검색 시도","02월 27일","03월 06일","",""
"2026-02-27","12","답변","사업방법서","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","02월 27일","03월 06일","",""
"2026-02-27","13","답변","약관","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","02월 27일","03월 06일","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-02-27","14","답변","멀티턴 답변","","","","1. 학습 및 검증세트 수급","멀티턴 테스트 환경 구성","02월 27일","03월 06일","",""
"2026-02-27","15","답변","예측질의 답변","","","","1. 학습 및 검증세트 수급","1. 학습 및 검증세트 수급","02월 27일","03월 06일","","예측질의 학습 질답 세트 제공 요청"
"2026-02-27","16","답변","유도질의 답변","","","","1. 학습 및 검증세트 수급","1. 학습 및 검증세트 수급","02월 27일","03월 06일","","유도질의 학습 질답 세트 제공 요청"
"2026-03-06","7","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. Re Rank 시 발생하는 데이터 품질/노이즈 체크
  - 정답 데이터 Top-K 랭킹 진입여부 검토
2. Lexical + Vector 비중 변경 테스트
  - 4개 검색 필드 조합별 Case 테스트 추가 진행
  - 최적 weight 조합 재산정","","03월 06일","","",""
"2026-03-06","8","답변","업무 매뉴얼","","","","1. Original 문서 업데이트 
  - 답변 오류 항목만 Rewrite 하지 않고, 전체 Chunk의 Rewrite 시도
2. 약어 사전 적용 테스트
3. 현업 Feedback 결과 분석 및 반영
4. RLHF 활용 Fine tuning 환경 수립","","03월 06일","","","27개 도메인 분류 중 22개 분류만 데이터 적재 시 메타로 사용되어서 5개는 현재 제외해서 검색을 해야함"
"2026-03-06","9","답변","PC 매뉴얼","","","","1. RAG 매칭율 향상을 위해 Hybrid Search 기능 테스트
  - chunk_with_weight 제외 후 Hybrid Search 진행 테스트","","03월 06일","","",""
"2026-03-06","10","답변","상담스크립트","","","","1. 스크립트별 목적 자동 생성 후 매칭에 활용
  - 전체 스크립트를 Rule Based로 분류하고 
    목적이 겹치지 않도록 조정하는 프로그램 테스트
  - 단점 : 향후 운영 시 관리자가 상담 스크립트를 등록할 때 기존에 동일한 목적이 
            있었는지 확인을 반드시 선행해야 함.","","03월 06일","","",""
"2026-03-06","11","답변","상품매뉴얼","","","","1. 형태소 분석 활용 BM25 검색 추가 --> Hybrid 검색 시도","","03월 06일","","",""
"2026-03-06","12","답변","사업방법서","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","03월 06일","","",""
"2026-03-06","13","답변","약관","","","","1. 기본 답변 프롬프트 개선 방향 수립
  - 업무 매뉴얼과의 영향도 분석","","03월 06일","","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-03-06","14","답변","멀티턴 답변","","","","멀티턴 테스트 환경 구성","","03월 06일","","",""
"2026-03-06","15","답변","예측질의 답변","","","","1. 학습 및 검증세트 수급","","03월 06일","","","예측질의 학습 질답 세트 제공 요청"
"2026-03-06","16","답변","유도질의 답변","","","","1. 학습 및 검증세트 수급","","03월 06일","","","유도질의 학습 질답 세트 제공 요청"
"2026-03-13","7","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. 정답 데이터 청크 매칭
- 각 카테고리별 정답지의 Chunk_id를 골든셋 기준으로 매칭 및 검증
2. 데이터 확인 및 비교
- 기존 정답지와 골든셋 간 데이터 정합성 비교
- 불일치 항목 식별 및 정리
3. 프롬프트 정확도 개선 실험
- 단순 및 복합 프롬프트 Ablation 테스트: 포지티브/네거티브, 지시 등의 프롬프트 단일 및 결합 테스트
4. RAG 검색 개선
- Hybrid Search + Reranker + 청크 최적화
- Query Expansion 테스트
- Context Refinement: LLM 스코어링 → 상위 1~3개 필터 테스트, 노이즈 제거 및 정제된 컨텍스트로 답변 품질 향상
5. Qwen3-30B 모델 튜닝
- GPU #6 학습 전용 환경 구축
- SFT 학습 데이터 설계 (6개 카테고리 2,608건)
- Unsloth Attention/MoE fused 커널 기반 학습 착수
- DPO/ORPO 페어 데이터 설계
- Thinking Mode 해결: <think> 태그 출력 이슈 근본 해결로 Dify Structured Output 안정성 확보
- MoE Expert 도메인 특화: 128개 Expert 중 활성 Expert의 가중치를 보험 도메인에 맞게 미세조정
6. 오답노트 작성
- 카테고리별 오답 케이스 분석 및 원인 정리
- 오답 유형 패턴 분류 (검색 실패 / 문서 매칭 실패 / 답변 생성 오류)","1. SFT 최적 모델 확정 (LlamaFactory vs Unsloth 비교)
2. DPO 학습 실행 (beta=0.1, 선호도 학습)
3. ORPO 학습 실행 (Ref 모델 불필요, VRAM 절약)
4. SimPO 추가 실험
5. 6개 카테고리 2,608건 전수 평가
6. Phase 1 KPI 판정 (WM≥85%, 전체≥80%)
- LLM 전환율 74% → 목표 85%+
- 프롬프트 최적화 한계 도달 후 모델 자체 능력 개선으로 도메인 특화 답변 생성 강화
- 오답률 20.3% → 목표 10% 이하: 도메인 용어/패턴/보험 약관 구조를 모델 가중치에 직접 학습
- 소답률 2.1% → 목표 1.5%: 필요 정보 누락 감소
- 환각 거절 능력 확보: Negative 샘플 학습으로 검색 실패 시 ""정보 없음"" 응답 생성
- MoE Expert 도메인 특화: 128개 Expert 중 활성 Expert의 가중치를 보험 도메인에 맞게 미세조정
7. RAG 검색 개선
- Hybrid Search + Reranker + 청크 최적화
- Query Expansion 테스트
- Context Refinement: LLM 스코어링 → 상위 1~3개 필터 테스트, 노이즈 제거 및 정제된 컨텍스트로 답변 품질 향상","03월 13일","03월 20일","",""
